Craigslist URL,Neighborhood,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun,||,Last Rat Diff Updated,rat_1_bed,diff_1_bed,rat_2_bed,diff_2_bed,rat_3_bed,diff_3_bed,rat_4_bed,diff_4_bed,rat_5_bed,diff_5_bed,rat_6_bed,diff_6_bed,rat_1_bed_c,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
washingtondc,,Haymarket,VA,20169,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',0,0,1.781,-976,0.999,3,0,0,0,0,0,0,0,0,1.833,-1041,1.267,-588,0,0,0,0,0,0,0,0,2.226,-1533,1.082,-181,0,0,0,0,0,0,0,0,1.366,-457,0.953,104,0,0,0,0,0,0
washingtondc,,Herndon,VA,20170,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',0,0,0.848,260,1.132,-238,1.277,-613,0,0,0,0,0,0,0.955,78,0,0,0,0,0,0,0,0,0,0,1.035,-60,1.242,-436,1.284,-629,0,0,0,0,0,0,0.812,321,0.928,130,0.874,278,0,0,0,0
washingtondc,,Herndon,VA,20171,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',1.1,-155,1.185,-312,1.345,-636,0,0,0,0,0,0,1.1,-155,1.191,-321,1.691,-1273,0,0,0,0,0,0,0,0,0,0,1.61,-1124,0,0,0,0,0,0,0,0,1.179,-302,1.285,-525,0,0,0,0,0,0
washingtondc,,Leesburg,VA,20175,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',0.824,266,0.892,163,0.935,130,0.93,224,0,0,0,0,0.824,266,1.068,-102,0.767,466,0,0,0,0,0,0,0,0,0.769,348,1.209,-417,0.989,37,0,0,0,0,0,0,0.878,184,0.938,124,0.668,1063,0,0,0,0
washingtondc,,Leesburg,VA,20176,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',1.373,-433,1.236,-331,1.245,-411,1.895,-1455,1.404,-1171,0,0,1.373,-433,1.239,-335,1.545,-916,0,0,0,0,0,0,0,0,0,0,1.274,-460,1.906,-1472,1.408,-1182,0,0,0,0,1.151,-212,1.216,-363,1.748,-1215,1.048,-138,0,0
washingtondc,,Nokesville,VA,20181,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Reston,VA,20190,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',1.38,-567,1.836,-1400,1.114,-255,0,0,0,0,0,0,1.506,-756,1.883,-1478,1.014,-31,0,0,0,0,0,0,0.924,113,0,0,0,0,0,0,0,0,0,0,0,0,1.349,-585,1.12,-267,0,0,0,0,0,0
washingtondc,,Reston,VA,20191,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',1.448,-586,1.26,-371,1.365,-603,2.229,-1839,3.773,-2970,0,0,1.448,-586,1.278,-396,1.038,-62,0,0,0,0,0,0,0,0,0.847,218,1.987,-1628,2.361,-2036,3.773,-2970,0,0,0,0,1.26,-371,1.404,-667,1.844,-1262,0,0,0,0
washingtondc,,Reston,VA,20194,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',0,0,1.437,-730,1.494,-911,0,0,0,0,0,0,0,0,1.61,-1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.089,-148,1.494,-911,0,0,0,0,0,0
washingtondc,,Washington,DC,20722,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',0.816,188,1.003,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816,188,1.003,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
