City,State,Zip Code,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
Herndon,VA,20171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leesburg,VA,20175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leesburg,VA,20176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358,-1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorton,VA,22079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.242,-410,0,0,0,0,0,0
Manassas,VA,20109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825,298,0,0,0,0,0,0
Manassas,VA,20110,0,1.057,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948,117,0,0,0,0,0,0,0,0,0.887,182,0,0,0,0,0,0
Manassas,VA,20111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.413,-763,0,0,0,0,0,0,0.811,369,0.984,28,0,0,0,0
Manassas,VA,20112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McLean,VA,22101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.216,-821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McLean,VA,22102,0,1.189,-397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nokesville,VA,20181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oakton,VA,22124,0,1.201,-342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Occoquan,VA,22125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reston,VA,20190,0,2.189,-1784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.296,-577,0,0,0,0,0,0
Reston,VA,20191,0,0.85,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,-360,0,0,0,0,0,0
Reston,VA,20194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield,VA,22150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield,VA,22151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield,VA,22152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.668,-1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield,VA,22153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959,93,0,0,0,0,0,0
Sterling,VA,20164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.003,-5,0,0,0,0,0,0
Sterling,VA,20165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.106,-2484,0,0,0,0,0,0,0,0,1.099,-198,0,0,0,0,0,0
Sterling,VA,20166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854,362,0,0,0,0,0,0
Triangle,VA,22172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vienna,VA,22180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.436,-1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vienna,VA,22181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vienna,VA,22182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,-2435,0,0,0,0
Woodbridge,VA,22191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.113,-248,1.222,-444,0,0,0,0,0,0,1.081,-137,0,0,0,0,0,0
Woodbridge,VA,22192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.133,-185,0.745,586,0,0,0,0
Woodbridge,VA,22193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.856,319,0,0,0,0,0,0,0,0,0.84,252,1.093,-107,0,0,0,0
