Craigslist URL,Neighborhood,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun,||,Last Rat Diff Updated,rat_1_bed,diff_1_bed,rat_2_bed,diff_2_bed,rat_3_bed,diff_3_bed,rat_4_bed,diff_4_bed,rat_5_bed,diff_5_bed,rat_6_bed,diff_6_bed,rat_1_bed_c,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
washingtondc,,Chantilly,VA,20151,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Chantilly,VA,20152,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,1.183,-393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Gainesville,VA,20155,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,1.06,-119,1.006,-15,1.266,-638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.035,-83,0,0,0,0,0,0,0,0,0.937,128,0,0,0,0,0,0
washingtondc,,Sterling,VA,20164,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,1.059,-83,1.43,-559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Sterling,VA,20165,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,1.112,-223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.097,-194,0,0,0,0,0,0
washingtondc,,Sterling,VA,20166,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,1.13,-259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.081,-163,0,0,0,0,0,0
washingtondc,,Haymarket,VA,20169,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,1.287,-660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Herndon,VA,20170,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,2.379,-1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Herndon,VA,20171,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,1.166,-332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.191,-373,0,0,0,0,0,0
washingtondc,,Leesburg,VA,20175,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,1.147,-236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Leesburg,VA,20176,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,1.361,-1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.363,-1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Nokesville,VA,20181,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Reston,VA,20190,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,1.979,-1670,1.597,-934,0,0,0,0,0,0,0,0,2.029,-1756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Reston,VA,20191,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0.951,91,1.104,-218,0,0,0,0,0,0,0,0,0.903,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,-356,0,0,0,0,0,0
washingtondc,,Reston,VA,20194,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,1.241,-422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Washington,DC,20722,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Annandale,VA,22003,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0.943,72,1.228,-301,0,0,1.345,-741,0,0,0,0,0.943,72,1.142,-206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.273,-649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Burke,VA,22015,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Burke,VA,22015,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Dumfries,VA,22026,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Dunn Loring,VA,22027,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Fairfax,VA,22030,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0.669,341,0,0,1.056,-147,1.463,-1111,1.693,-1593,0,0,0.492,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.688,-997,0,0,1.693,-1593,0,0,0,0,0,0,1.102,-271,0,0,0,0,0,0
washingtondc,,Fairfax,VA,22031,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Fairfax,VA,22032,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Fairfax,VA,22033,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',1.331,-348,1.163,-290,1.217,-466,0,0,0,0,0,0,0,0,1.173,-307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.231,-497,0,0,0,0,0,0
washingtondc,,Fairfax Station,VA,22039,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Falls Church,VA,22041,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0.943,83,0,0,0,0,0,0,0,0,0,0,0.943,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Falls Church,VA,22042,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',1.875,-744,2201.0,-2200,1.153,-367,0,0,0,0,0,0,1.875,-744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Falls Church,VA,22043,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',1.671,-939,1.196,-372,1.348,-723,0,0,0,0,0,0,0,0,1.228,-434,0,0,0,0,0,0,0,0,0,0,0,0,1.314,-652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Falls Church,VA,22044,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,1.118,-212,0,0,0,0,0,0,0,0,0,0,1.106,-191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Falls Church,VA,22046,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0.895,263,1.295,-797,0,0,0,0,0,0,0,0,1.061,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781,680,1.411,-1191,0,0,0,0,0,0
washingtondc,,Fort Belvoir,VA,22060,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Great Falls,VA,22066,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Lorton,VA,22079,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,1.268,-453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.242,-410,0,0,0,0,0,0
washingtondc,,McLean,VA,22101,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,2.085,-2165,2.169,-2280,1.221,-840,2.78,-4716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.221,-840,2.751,-4641,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,McLean,VA,22102,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',1.531,-743,0.941,160,1.776,-1630,0,0,0,0,0,0,1.531,-743,0.927,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Woodbridge,VA,22191,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',3.567,-1155,0,0,1.074,-125,1.089,-191,1.222,-444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.137,-301,1.222,-444,0,0,0,0,0,0,1.081,-137,0,0,0,0,0,0
washingtondc,,Woodbridge,VA,22192,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0.912,159,2235.0,-2234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.064,-125,0,0,0,0,0,0,0,0,0,0,1.134,-187,1752.0,-1751,0,0,0,0
washingtondc,,Oakton,VA,22124,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,1.237,-403,0,0,0,0,0,0,0,0,0,0,1.153,-260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Occoquan,VA,22125,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
